id	category	app	one_line	auth	access	surface	mcp	verdict	blocker	evidence
1	CRM and Sales	Salesforce	Enterprise CRM with sales, service, and platform objects.	OAuth2; JWT bearer; username-password legacy	Self-serve dev org, production needs org/admin setup	Broad REST, Bulk, Streaming, Metadata, GraphQL APIs	MCP/community signal, not independently verified	Buildable	Admin scopes and object model complexity	https://developer.salesforce.com/docs/platform/connect-rest-api/guide/quickstart.html
2	CRM and Sales	HubSpot	CRM and marketing platform for contacts, companies, deals, and engagement data.	OAuth2; private app bearer token	Self-serve free developer account and private apps	Broad REST APIs across CRM, marketing, files, conversations	MCP/community signal, not independently verified	Buildable	Marketplace OAuth review for public distribution	https://developers.hubspot.com/docs/apps/legacy-apps/authentication/intro-to-auth
3	CRM and Sales	Pipedrive	Sales CRM for deals, activities, people, and pipelines.	OAuth2; API token	Self-serve trial and developer app flow	Broad REST API	None found	Buildable	OAuth app review and per-account permissions	https://developers.pipedrive.com/docs/api/v1
4	CRM and Sales	Attio	Modern CRM/workspace for flexible records and relationship data.	OAuth2; API key	Self-serve developer docs and workspace tokens	Broad REST API with objects, records, lists, notes	None found	Buildable	Schema mapping needed per workspace	https://docs.attio.com/rest-api
5	CRM and Sales	Twenty	Open-source CRM with configurable companies, people, and opportunities.	API key; bearer token	Self-serve open source and cloud	REST and GraphQL surfaces	MCP wrapper potential, not independently verified	Buildable	Open-source deployments vary by version	https://twenty.com/developers
6	CRM and Sales	Podio	Citrix work management/CRM-style app platform.	OAuth2; app auth; password grant legacy	Self-serve account, app tokens available	Broad REST API	None found	Buildable	Legacy OAuth patterns and app-specific permissions	https://developers.podio.com/doc
7	CRM and Sales	Zoho CRM	CRM for leads, contacts, deals, campaigns, and workflows.	OAuth2	Self-serve developer console, org scopes/admin needed	Broad REST API	MCP/community signal, not independently verified	Buildable	Regional domains and scope granularity	https://www.zoho.com/crm/developer/docs/api/v8/oauth-overview.html
8	CRM and Sales	Close	Sales CRM focused on calls, email, leads, and opportunities.	API key; OAuth2	Self-serve API keys in account	Broad REST API	None found	Buildable	Commercial account required beyond trial	https://developer.close.com/
9	CRM and Sales	Copper	Google Workspace-native CRM for contacts, leads, and opportunities.	API key; OAuth2	Gated by account/admin for API keys	REST API	None found	Buildable	API access depends on paid plan/admin	https://developer.copper.com/
10	CRM and Sales	DealCloud	Deal management CRM for financial services.	OAuth2; bearer token	Gated/customer access	REST API documented	Public MCP not found	Partially buildable	Customer credentials and tenant access	https://api.docs.dealcloud.com/
11	Support and Helpdesk	Zendesk	Support platform for tickets, users, help center, chat, and messaging.	OAuth2; API token; basic plus token	Self-serve trial, admin setup	Broad REST APIs	MCP/community signal, not independently verified	Buildable	Tenant subdomains and admin scopes	https://developer.zendesk.com/api-reference/
12	Support and Helpdesk	Intercom	Customer messaging and support platform.	OAuth2; access token	Self-serve developer workspace	Broad REST API	MCP/community signal, not independently verified	Buildable	App review for public apps	https://developers.intercom.com/docs/build-an-integration/learn-more/authentication
13	Support and Helpdesk	Freshdesk	Helpdesk ticketing, contacts, companies, and knowledge base.	API key; OAuth2	Self-serve trial and API key	Broad REST API	None found	Buildable	Plan limits and product-specific APIs	https://developers.freshdesk.com/api/
14	Support and Helpdesk	Front	Shared inbox and customer operations platform.	OAuth2; API token	Self-serve developer portal	Broad REST API	None found	Buildable	Workspace permissions and rate limits	https://dev.frontapp.com/reference/introduction
15	Support and Helpdesk	Pylon	B2B support platform for Slack/Teams/email customer channels.	API key; OAuth indications	Gated/customer workspace likely	REST API docs	Public MCP not found	Partially buildable	Access appears customer/workspace gated	https://docs.usepylon.com/
16	Support and Helpdesk	LiveAgent	Helpdesk/live chat software for tickets, chats, calls, and customers.	API key	Self-serve trial	Broad REST API	None found	Buildable	Older docs and account-specific endpoints	https://support.liveagent.com/docs/api/v3/
17	Support and Helpdesk	Plain	API-first customer support platform.	API key; OAuth for customer portal patterns	Self-serve developer docs, workspace needed	GraphQL API	None found	Buildable	GraphQL schema and support workflow design	https://www.plain.com/docs/api-reference/graphql
18	Support and Helpdesk	Help Scout	Helpdesk mailbox, docs, customers, and conversations.	OAuth2	Self-serve app registration	Broad REST APIs	MCP/community signal, not independently verified	Buildable	OAuth scopes and mailbox permissions	https://developer.helpscout.com/mailbox-api/overview/authentication/
19	Support and Helpdesk	Gorgias	Ecommerce helpdesk for tickets, customers, and orders.	Basic auth; API key/token	Self-serve for customers, plan dependent	REST API	None found	Buildable	Plan/admin access and ecommerce context	https://developers.gorgias.com/reference/introduction
20	Support and Helpdesk	Gladly	Customer service platform for conversations and people profiles.	OAuth2; API token	Gated/customer access	REST API	Public MCP not found	Partially buildable	Enterprise sales/admin access	https://developer.gladly.com/
21	Communications and Messaging	Slack	Team messaging platform with channels, users, files, and workflow APIs.	OAuth2; bot/user tokens	Self-serve app creation, workspace install	Broad Web API, Events, Socket Mode	Official or community MCP signal	Buildable	Workspace admin approval for installs/scopes	https://api.slack.com/authentication
22	Communications and Messaging	Twilio	Communications APIs for SMS, voice, WhatsApp, email, and verification.	API key/secret; account SID auth; OAuth beta areas	Self-serve trial	Broad REST APIs	MCP/community signal, not independently verified	Buildable	Phone number compliance and paid usage	https://www.twilio.com/docs/iam/api-keys
23	Communications and Messaging	Zoho Cliq	Team chat and collaboration platform.	OAuth2; bot/webhook tokens	Self-serve Zoho developer console	REST APIs, bots, webhooks	None found	Buildable	Zoho regional OAuth and org permissions	https://www.zoho.com/cliq/help/restapi/v2/
24	Communications and Messaging	Lark (Larksuite)	Collaboration suite with messaging, docs, calendar, and approval APIs.	OAuth2; app access tokens	Self-serve app console, org approval for installs	Broad Open Platform APIs	MCP/community signal, not independently verified	Buildable	Region/product naming and tenant approval	https://open.larksuite.com/document/
25	Communications and Messaging	Pumble	Team chat app from CAKE.com.	Webhooks; limited public API unclear	Gated/limited	Incoming webhooks, public API not clearly broad	Public MCP not found	Not yet	No broad documented public API found	https://pumble.com/help/integrations/webhooks/
26	Communications and Messaging	Discord	Community chat, voice, and bot platform.	OAuth2; bot token	Self-serve developer portal	Broad REST/Gateway APIs	MCP/community signal, not independently verified	Buildable	Gateway/event handling and bot permissions	https://discord.com/developers/docs/intro
27	Communications and Messaging	Telegram	Messaging platform with bot and client APIs.	Bot token; MTProto auth	Self-serve BotFather	Broad Bot API and MTProto	MCP/community signal, not independently verified	Buildable	Bot API limits versus full user-client API	https://core.telegram.org/bots/api
28	Communications and Messaging	WhatsApp Business	Meta WhatsApp messaging for business conversations.	OAuth2; system user tokens	Self-serve Cloud API, business verification for scale	Graph API endpoints for messaging and templates	MCP/community signal, not independently verified	Buildable	Business verification, templates, phone compliance	https://developers.facebook.com/docs/whatsapp/cloud-api
29	Communications and Messaging	Aircall	Cloud phone system for calls, numbers, users, and analytics.	OAuth2; API ID/token	Self-serve docs, customer account needed	REST API and webhooks	None found	Buildable	Commercial phone account and call compliance	https://developer.aircall.io/api-references/
30	Communications and Messaging	Vonage	Communications APIs for SMS, voice, verify, video, and number insights.	API key/secret; JWT; OAuth in some products	Self-serve developer account	Broad REST APIs	MCP/community signal, not independently verified	Buildable	Product-specific auth differences	https://developer.vonage.com/en/getting-started/concepts/authentication
31	Marketing, Ads, Email and Social	Google Ads	Google advertising platform for campaign management and reporting.	OAuth2 plus developer token	Self-serve test token; production access reviewed	Broad Google Ads API	MCP/community signal, not independently verified	Buildable	Developer token access level and policy review	https://developers.google.com/google-ads/api/docs/api-policy/developer-token
32	Marketing, Ads, Email and Social	Meta Ads	Meta marketing APIs for ads, audiences, campaigns, and insights.	OAuth2; system user tokens	Self-serve app, advanced access reviewed	Broad Graph/Marketing API	MCP/community signal, not independently verified	Buildable	App review and business verification for advanced scopes	https://developers.facebook.com/docs/marketing-apis/
33	Marketing, Ads, Email and Social	LinkedIn Ads	LinkedIn marketing APIs for ad accounts, campaigns, creatives, and analytics.	OAuth2	Partner/developer access gated	Broad REST APIs	Public MCP not found	Partially buildable	Marketing API access review/partner gating	https://learn.microsoft.com/en-us/linkedin/marketing/
34	Marketing, Ads, Email and Social	GoHighLevel	Agency CRM/marketing automation platform.	OAuth2; API key/private integration tokens	Self-serve for accounts, marketplace approval for distribution	Broad REST API	MCP/community signal, not independently verified	Buildable	Agency/location model and marketplace review	https://marketplace.gohighlevel.com/docs/Authorization/authorization_doc/
35	Marketing, Ads, Email and Social	Mailchimp	Email marketing and audience automation platform.	OAuth2; API key	Self-serve account and developer apps	Broad REST Marketing API	MCP/community signal, not independently verified	Buildable	Account plan limits and data-center specific base URLs	https://mailchimp.com/developer/marketing/docs/fundamentals/
36	Marketing, Ads, Email and Social	Klaviyo	Marketing automation for ecommerce email/SMS and profiles/events.	API key; OAuth2	Self-serve developer account and private keys	Broad REST APIs	MCP/community signal, not independently verified	Buildable	API revision headers and scope planning	https://developers.klaviyo.com/en/docs/authenticate_
37	Marketing, Ads, Email and Social	systeme.io	Funnel, email marketing, course, and automation builder.	API key	Self-serve for account holders	REST API appears moderate	None found	Buildable	Public docs less mature than major vendors	https://developer.systeme.io/
38	Marketing, Ads, Email and Social	Pinterest	Pinterest content and ads platform.	OAuth2	Self-serve developer app, access reviewed for some scopes	REST API	MCP/community signal, not independently verified	Buildable	App review for protected endpoints	https://developers.pinterest.com/docs/getting-started/set-up-authentication-and-authorization/
39	Marketing, Ads, Email and Social	Threads (Meta)	Meta social publishing and insights API for Threads.	OAuth2	Self-serve app, Meta review for advanced use	Graph-based Threads API	MCP/community signal, not independently verified	Buildable	App review and feature maturity	https://developers.facebook.com/docs/threads/
40	Marketing, Ads, Email and Social	SendGrid	Transactional and marketing email API.	API key	Self-serve trial/account	Broad REST APIs	MCP/community signal, not independently verified	Buildable	Email sender verification and compliance	https://docs.sendgrid.com/api-reference/how-to-use-the-sendgrid-v3-api/authentication
41	Ecommerce	Shopify	Commerce platform for stores, products, orders, customers, and admin workflows.	OAuth2; access tokens	Self-serve partner/dev store	Broad REST and GraphQL Admin APIs	Official or community MCP signal	Buildable	App review for public apps and protected data	https://shopify.dev/docs/api
42	Ecommerce	WooCommerce	WordPress ecommerce plugin for stores and orders.	Consumer key/secret; Basic/OAuth1	Self-serve if site owner/admin	REST API	MCP/community signal, not independently verified	Buildable	Site-specific auth and plugin/version variance	https://woocommerce.github.io/woocommerce-rest-api-docs/
